A b c	Bảng chữ cái
Sesamoidal	Thuộc xương vừng
Sess	Thuế, mức thuế
Session	Hội nghị
Set quare	Cái ê ke
Setiferous	Có lông cứng
Setigerous	Có lông cứng
Setline	Dây câu giăng
Setose	Có lông cứng
Sett	Đá lát
Setting	Sự đặt, sự để
Settled	Chắc chắn, ổn định
Settlings	Chất lắng
Sevenfold	Gấp bảy lần
Seventh	Một phần bảy
Seventhly	Bảy là
Seventieth	Thứ bảy mươi
Sever	Chia rẽ, tách ra
Severable	Có thể chia rẽ được
Several	Nhiều
Severance	Sự chia rẽ
Severely	Nghiêm nghị
Severity	Sự ngặt nghèo
Severse	Nghiêm nghị
Sewage	Nước cống, rác cống
Sewer gas	Hơi cống
Sewer rat	Chuột cống
Sewerage	Hệ thống cống rãnh
Sewn	May khâu
Sex act	Sự giao cấu
Sexangular	Sáu góc
Sexily	Dâm ô, dâm dục
Sexless	Không có giới tính
Sexology	Giới tính học
Sexpartite	Chia sáu
Sextant	Kính lục phân
Sexto	Khổ 6
Sextuple	Gấp sáu lần
Sexual	Sinh dục
Sexualise	Định giới tính cho
Sexuality	Tính chất giới tính
Sexualize	Định giới tính cho
Sexy	Khiêu dâm, gợi tình
Shack	Lán, lều
Shackle	Cái cùm, cái còng
Shaddock	Quả bưởi
Shadowing	Sự che chắn
Shadowless	Không có bóng râm
Shadowy	Có bóng râm
Shady	Bị che
Shag	Chòm lông, bờm tóc
Shagged	Rất mệt mỏi
Shaggily	Bờm xờm, lộn xộn
Shaggy	Rậm lông, bờm xờm
Shakedown	Sự rung cây lấy quả
Shaky	Run, yếu
Shallop	Tàu sà lúp
Shallow	Nông, cạn
Sham	Giả mạo
Shaman	Pháp sư
Shamanic	Thuộc shaman
Shamanism	Saman giáo
Shambles	Lò mổ, lò sát sinh
Shammer	Người giả mạo
Shampoo	Thuốc gội đầu
Shandrydan	Xe bò, xe cút kít
Shandy	Bia pha nước chanh
Shandygaff	Bia pha nước chanh
Shank	Ống chân tất dài
Shantung	Lụa săngtung
Shanty	Lều, lán, chỏi
Shape	Dạng
Shaper	Thợ nặn, thợ giũa
Share	Cổ phần
Share bone	Danh từ
Sharecrop	Cấy rẽ, lĩnh canh
Sharer	Người chung phần
Sharkskin	Da cá mập
Sharp	Sắt, nhọn, bén
Sharpen	Mài, vót cho nhọn
Sharpener	Thợ mài dao kéo
Sharpening	Sự mài sắc
Sharper	Người lừa đảo
Sharply	Sắt, nhọn, bén
Shaster	Sách giáo huấn
Shatter	Làm vỡ, làm gãy
Shattery	Dễ vỡ
Shaver	Người cạo, thợ cạo
Shaving	Sự cạo
Sheaf	Bó, lượm, thếp
Sheaflike	Thành bó
Sheafy	Thành bó
Shearer	Người xén lông cừu
Sheath	Ống
Sheathy	Giống như vỏ
Sheaves	Bó, lượm, thếp
Shedding	Cái rơi xuống
Sheep	Con cừu
Sheepman	Người nuôi cừu
Sheepshank	Cẳng cừu
Sheet	Tờ
Sheet iron	Sắt lá
Sheeter	Máy cắt tấm
Shekaree	Người đi săn
Shekarry	Người đi săn
Shelf	Ngăn sách
Shell	Vỏ, cáo bao
Shellac	Senlăc
Shellfish	Loài sò hến
Shelved	Nằm trên giá
Shelves	Ngăn sách
Shelvy	Dốc
Sheol	Âm ty, âm phủ
Shepherd	Người chăn cừu
Sheppy	Chuồng cừu
Sher	Trượt, sát mòn
Sheradize	Tráng kẽm, mạ kẽm
Sheriff	Quận trưởng
Sheriffdom	Chức quận trưởng
Sheugh	Cái hố
Shew	Sự bày tỏ
Shewn	Sự bày tỏ
Shieldbone	Xương bả
Shiftable	Có thể xê dịch
Shifter	Dịch]
Shiftless	Bất lực, hèn kém
Shikaree	Người đi săn
Shikari	Người đi săn
Shilling	Đồng silinh
Shilpit	Bệnh hoạn
Shimmer	Ánh sáng lung linh
Shimmery	Thấp thoáng
Shin	Cẳng chân
Shindy	Sự cãi lộn
Shine	Ánh sáng, ánh nắng
Shining	Sáng, sáng ngời
Shinleaf	Cỏ chân hươu
Shinleaved	Có lá bóng
Shinto	Đạo thần Nhật bản
Shintoist	Người theo đạo thần
Shintoits	Người theo đạo thần
Ship	Tàu thuỷ, tàu
Shipboard	Xuất hiện trên tàu
Shipload	Hàng hoá trên tàu
Shipmaster	Thuyền trưởng
Shipmate	Bạn thuỷ thủ
Shipowner	Chủ tàu
Shipshape	Ngăn nắp, thứ tự
Shipway	Kênh hàng hải
Shipwreck	Nạn đắm tàu
Shipwright	Thợ đóng tàu
Shipyard	Xưởng đóng tàu
Shire	Quận, huyện
Shirk	Người trốn việc
Shirt	Áo sơ mi
Shirting	Vải may áo sơ mi
Shirtless	Không mặc áo sơ mi
Shishkebab	Thịt nướng
Shit	Rác rưởi
Shitty	Kinh tởm
Shivering	Run rẩy, lẩy bẩy
Shoaly	Có bãi cát ngầm
Shocking	Chướng, khó coi
Shockingly	Một cách tồi tệ
Shod	Giày
Shoddy	Vải tái sinh
Shoe	Giày
Shoemaker	Thợ đóng giày
Shoemaking	Nghề đóng giày
Shoestring	Dây giày
Shone	Ánh sáng, ánh nắng
Shoo	Xua, đuổi, xuỵt
Shoot	Cái măng
Shooter	Người bắn súng
Shooting	Sự bắn, sự phóng đi
Shop	Cửa hàng, cửa hiệu
Shopkeeper	Người chủ hiệu
Shopman	Người chủ hiệu
Shopper	Người đi mua hàng
Shopping	Sự đi mua hàng
Shoreward	Về phía bờ
Shoring	Sự chống đỡ
Short	Ngắn, cụt
Short cut	Đường cắt
Short fall	Sự thiếu hụt
Short head	Đầu ngắn
Shortbread	Bánh bơ giòn
Shortcake	Bánh bơ giòn
Shortening	Sự thu ngắn lại
Shortfall	Sự thâm hụt
Shortish	Hơi ngắn, ngăn ngắn
Shortness	Sự ngắn gọn
Shorty	Vật bé tí
Shotgun	Súng săn
Shotted	Được tạo thành hạt
Shotting	Sự tạo hạt
Shoulder	Vai
Shouting	Tiếng reo hò
Shove	Sự xô đẩy
Shovel	Cái xẻng
Shovel hat	Mũi to vành
Shoveller	Máy xúc
Shovelman	Thợ xúc
Show	Chứng tỏ
Shower	Người trưng bày
Showering	Sự trưng bày
Shown	Sự bày tỏ
Showroom	Phòng triển lãm
Shram	Làm tê, làm cóng
Shrank	Co vào, rút vào
Shred	Miếng nhỏ, mảnh vụn
Shrewd	Sắc, sắc sảo
Shrewdly	Sắc sảo, linh lợi
Shrewdness	Tính sắc sảo
Shrewed	Sắc sảo, linh lợi
Shrewish	Gắt gỏng
Shrewishly	Hay gắt gỏng
Shrieval	Thuộc quận trưởng
Shrimping	Nghề câu tôm
Shrine	Hòm đựng thánh cốt
Shrink	Co rút
Shrivel	Làm héo hon
Shroud	Vải liệm
Shrua	Sự nhún vai
Shrub	Cây bụi
Shrubbery	Bụi cây
Shrubby	Dạng cây bụi
Shrug	Nhún vai
Shrunk	Co vào, rút vào
Shudder	Sự rùng mình
Shufti	Nhìn
Shufty	Nhìn
Shunt	Sự chuyển, sự tránh
Shut	Đóng
Shuttering	Ván cốt pha
Shuttle	Con thoi
Shyer	Người bẽn lẽn
Shylock	Kẻ cho vay nặng lãi
Séance	Khiêu dâm, gợi tình
Sialoid	Dạng nước bọt
Sibilance	Tính chất âm xuýt
Sibilancy	Tính chất âm xuýt
Sibship	Anh chị em ruột
Sibyl	Bà đồng, bà cốt
Siccative	Mau khô
Sicker	Chắc chắn
Sickish	Hơi buồn nôn
Sickle	Cái liềm
Sickly	Gầy yếu
Sickness	Bệnh hoạn
Side	Cạnh, phía
Side meate	Thịt sườn
Sidebone	Xương chậu
Sideburns	Tóc mai dài
Sidelong	Xiên về phía bên
Sidepiece	Bộ phận ở bên cạnh
Sidewalk	Vỉa hè, lề đường
Sideward	Về một phía
Sidewards	Về một phía
Siding	Đường tàu tránh
Sierra	Dãy núi lởm chởm
Siesta	Giấc ngủ trưa
Sieve	Sàng
Sievebone	Xương sàng
Sift	Giần, sàng, rây
Sigh	Tiếng thở dài
Sighing	Thở dài sườn sượt
Sight	Sự nhìn, điểm nhìn
Sighted	Không mù
Sighthole	Lỗ ngắm, lỗ nhìn
Sighting	Sự bị trông thấy
Sightless	Đui, mù, loà
Sightly	Trông dễ thương
Sightsee	Du lãm
Sightseer	Người đi tham quan
Sigmate	Hình xichma, hình S
Sigmoid	Đường xicmoit
Sign	Dấu, dấu hiệu
Signable	Có thể ký tên
Signal	Tín hiệu
Signalise	Đề cao
Signalize	Đánh tín hiệu
Signaller	Người đánh tín hiệu
Signally	Nghiêm minh
Signed	Có dấu
Signet	Ấn, dấu
Signify	Có nghĩa là
Signless	Không có dấu
Signpost	Biển chỉ đường
Signum	Xicnum, dấu
Silage	Sự ủ xilô
Silently	Yên lặng, âm thầm
Silex	Đá lửa
Silhouette	Bóng, hình bóng
Silicate	Silicat
Silicated	Có silic đioxyt
Silicify	Thấm silic đioxyt
Silk	Tơ, chỉ tơ
Silkalene	Vải bông ánh lụa
Silkaline	Vải bông ánh lụa
Silken	Mặt quần áo lụa
Silkfish	Cá đao
Silkman	Người bán tơ, lụa
Silkmoth	Con tằm
Sill	Ngưỡng cửa
Silted	Bị đọng bùn
Silting	Sự lắng bùn
Silty	Đầy bùn, nghẽn bùn
Silva	Thảm rừng
Silvan	Có rừng
Silver	Bạc
Silverless	Nghèo khổ
Silverly	Giọng trong trẻo
Silvern	Giống bạc
Silverware	Đồ làm bằng bạc
Similar	Đồng dạng
Similarity	Sự đồng dạng
Similarly	Đồng dạng
Simitar	Thanh kiếm cong
Simperer	Người cười giả tạo
Simple	Đơn giản, đơn
Simpleness	Sự mộc mạc
Simplicity	Tính đơn giản
Simplify	Rút gọn, đơn giản
Simplistic	Giản dị thái quá
Simply	Thường là
Simulacra	Hình bóng, hình ảnh
Simulacrum	Hình bóng, hình ảnh
Since	Từ đó
Sine	Sin
Sine die	Vô thời hạn
Sinewless	Không có gân
Sinewy	Nhiều gân
Sinfonia	Sự mở đầu
Sinful	Đầy tội lỗi
Sinfully	Ác độc
Sing	Hát, ca hát
Singe	Sự cháy sém
Singer	Người hát, ca sĩ
Singeress	Nữ ca sĩ
Single	Đơn, cá biệt
Singleness	Tính duy nhất
Singlet	Áo vệ sinh
Singsong	Nhịp đều đều
Singular	Suy biến
Sinister	Gở, mang điểm xấu
Sinkable	Có thể chìm được
Sinkhead	Đậu ngót
Sinkhole	Phễu tiêu nước
Sinking	Sự đánh chìm
Sinless	Vô tội
Sinologist	Nhà Hán học
Sinologue	Nhà Hán học
Sinology	Khoa Hán học
Sinophile	Thích Trung Quốc
Sinuate	Ngoằn ngoèo
Sinuatrial	Thuộc xoang tâm nhĩ
Sinusoid	Đường hình sin
Sinusoidal	Có hình sin
Sircar	Chính phủ
Sire	Đực giống
Siriasis	Sự say nắng
Sirkar	Chính phủ
Sissyish	Õng ẹo
Sister	Chị, em gái
Sisterhood	Tình chị em
Site	Nơi, chỗ, vị trí
Siting	Sự chọn địa điểm
Sitiology	Khoa thực phẩm
Sitology	Dinh dưỡng học
Sitter	Người ngồi
Sitting	Sự đặt ngồi
Situated	Ở
Situation	Vị trí, địa thế
Sixain	Bài thơ sáu câu
Sixfold	Gấp sáu lần
Sixpenny	Giá sáu penni
Sixteen	Mười sáu
Sixteenmo	Khổ 16
Sixteenth	Một phần mười sáu
Sixth	Một phần sáu
Sixthly	Sáu là
Sixtieth	Một phần sau mươi
Sizable	To, lớn, có cỡ lớn
Size	Cỡ, kích thước
Sizeable	To, lớn, có cỡ lớn
Sjambok	Roi da tê giác
Skate	Trượt
Skater	Người trượt băng
Skating	Môn trượt băng
Skein	Cuộn chỉ, cuộc len
Skeleton	Bộ xương
Skepticism	Chủ nghĩa hoài nghi
Skepticize	Hoài nghi
Skerry	Đá ngầm
Sketch map	Bản đồ vẽ phác
Skew	Xiên
Skiagram	Ánh tia X
Skiagraph	Ánh vẽ bóng
Skiagraphy	Thuật vẽ bóng
Skiascopy	Thuật soi đáy mắt
Skid	Má phanh
Skier	Người trượt tuyết
Skilful	Tài tình
Skilfully	Tài giỏi
Skill	Kỹ năng, kỹ xảo
Skillful	Tài giỏi
Skilly	Cháo lúa mạch loãng
Skim	Hớt bọt, hớt váng
Skim milk	Sữa đã lấy hết kem
Skimpily	Bủn xỉn, keo kiệt
Skimpingly	Bủn xỉn, keo kiệt
Skimpy	Bủn xỉn, keo kiệt
Skin	Da, mặt ngoài, vỏ
Skinless	Không vỏ
Skinner	Người lột da thú
Skip	Bước nhảy, nhảy
Skipper	Người nhảy dây
Skippingly	Nhảy, nhảy nhót
Skirr	Chạy nhanh
Skirt	Vạt áo
Skirting	Rìa
Skuld	Lén lút, lẩn tránh
Skulk	Trốn tránh, lẩn lút
Skulkingly	Trốn tránh, lỉnh
Skull	Sọ, đầu lâu
Skupshtina	Quốc hội Nam tư
Sky marker	Đèn dù, pháo sáng
Skyline	Đường chân trời
Skyman	Nhà hàng không
Skyscape	Cảnh bầu trời
Skyward	Hướng lên
Skyway	Đường hàng không
Slab	Phiến đá mỏng
Slabber	Nước dãi
Slack	Yếu
Slacklime	Vôi tôi
Slackness	Tính yếu
Slaggy	Có xỉ, như xỉ
Slake	Làm thoả mãn
Slakeless	Không thoả mãn được
Slaking	Sự dập tắt
Slam	Tiếng cửa đóng sầm
Slander	Sự nói xấu
Slanderer	Phỉ báng
Slanderous	Phỉ báng
Slang	Tiếng lóng
Slangy	Có tiếng lóng
Slantingly	Nghiêng, xiên, lệch
Slantways	Xếch
Slantwise	Xếch
Slapdash	Liều lĩnh
Slapping	Rất to, rất tốt
Slate	Đá bảng, đá
Slater	Thợ lợp ngói acđoa
Slatiness	Hình đá phiến
Slaver	Tàu buôn nô lệ
Slavery	Đầy nước dãi
Slavism	Tính chất Xlavơ
Sleek	Bóng, mượt
Sleeking	Đánh bóng
Sleeky	Bóng, mượt
Sleep	Sự ngủ
Sleeper	Người hay ngủ
Sleepless	Thức, không ngủ
Sleepy	Buồn ngủ, ngái ngủ
Sleepyhead	Người hay buồn ngủ
Sleet	Mưa tuyết
Sleety	Có mưa tuyết
Sleeve	Tay áo
Sleeving	Sự lắp ống lót
Slenderise	Mảnh dẻ
Slept	Sự ngủ
Slewness	Tính ghềnh
Slick	Trơn
Slicker	Khoé lừa giỏi
Slid	Sự trượt
Sliding	Sự trượt
Slight	Yếu
Slightly	Mỏng mảnh, yếu ớt
Slightness	Tầm vóc mảnh khảnh
Slime	Chất nhờn
Slinger	Người bắn ná
Slingshot	Súng cao su
Slinky	Lén, lẩn
Slip	Sự dời chỗ
Slippage	Sự giảm giá
Slippery	Trơ
Slipshod	Bệ rạc
Slipshoe	Dép lê
Slipslop	Bài viết cẩu thả
Slithery	Trơn, trơn tuột
Slitter	Máy xẻ
Slitting	Xẻ dọc
Sloam	Lớp đất sét
Sloane	Cũng sloane ranger
Slobber	Nước dãi
Slobbery	Hay chảy nước dãi
Sloe	Quả mận gai
Slogan	Khẩu hiệu
Sloganize	Sloganise
Sloganizer	Chỉ người
Sloop	Thuyền nhỏ một buồm
Slope	Độ dốc, độ nghiêng
Slopewise	Nghiêng, dốc
Sloping	Nghiêng, dốc
Sloppiness	Sự lõng bõng
Slothful	Lười biếng, uể oải
Slothfully	Uể oải
Slotter	Máy xẻ rãnh
Slotting	Xẻ rãnh
Slouched	Luộm thuộm
Slouchy	Thường thượt
Slovak	Người dân xlô vác
Slow	Chậm, chậm chạp
Slowback	Người lười biếng
Slowness	Sự chậm chạp
Slub	Len xe, sợi xe
Slubbing	Cuộn sợi
Sludge	Bùn đặc, bùn quánh
Sludger	Hút hố phân
Sluice	Cửa cống, cống
Sluicing	Sự tháo cống
Slumber	Giấc ngủ
Slumberer	Người hay ngủ
Slump	Khủng hoảng
Slurry	Hồ xi măng
Slush	Bùn loãng
Slusher	Máy cạp
Slushy	Lấm bùn, bùn lầy
Slyly	Tâm ngẩm tầm ngầm
Small beer	Bia nhẹ
Small fry	Cá nhỏ, cá con
Small talk	Chuyện phiếm
Smallish	Nho nhỏ, be bé
Smallness	Sự nhỏ bé
Smalti	Smalti
Smaltite	Quặng coban asenic
Smalto	Men xanh coban
Smaragd	Ngọc bích
Smart	Nỗi đau khổ
Smarten	Làm cho bảnh choẹ
Smartness	Sự mau lẹ
Smash	Tiếng vỡ xoảng
Smashed	Say rượu
Smaze	Khói lẫn mù
Smear	Đốm bẩn, vết bẩn
Smeariness	Sự dơ bẩn
Smearing	Dính bẩn
Smell	Khứu giác
Smeller	Vật đánh hơi
Smellless	Không có mùi
Smelter	Thợ nấu kim loại
Smile	Vẻ mặt tươi cười
Smiler	Người cười nhạt
Smilingly	Tươi cười
Smirk	Nụ cười điệu
Smirkingly	Cười giả tạo
Smiter	Đao kiếm
Smith	Thợ rèn
Smithers	Mảnh, mảnh vụn
Smithery	Xưởng rèn
Smock	Áo bờ lu
Smog	Khói lẫn sương
Smokable	Có thể hút được
Smoke	Khói
Smokeless	Không có khói
Smokiness	Tình trạng ám khói
Smoky	Toả khói, đầy khói
Smolder	Sự cháy âm ỉ
Smooth	Trơn nhẵn
Smoothbore	Súng nòng trơn
Smoothed	Trơn tru
Smoothly	Một cách trôi chảy
Smoothness	Tính trơn
Smother	Sự cháy âm ỉ
Smoulder	Sự cháy âm ỉ
Smudgy	Bẩn, dơ, nhem nhuốc
Smug	Thiển cận mà tự mãn
Smuggle	Buôn lậu
Smuggler	Người buôn lậu
Smuggling	Sự buôn lậu
Smut	Vết nhọ
Smutchy	Bẩn, dơ, nhem nhuốc
Snag	Chân răng gãy
Snagging	Đẽo mấu
Snail	Con ốc sên, con sên
Snaillery	Nơi nuôi ốc sên
Snake	Con rắn
Snake skin	Da rắn
Snakes!	Thành ngữ snake
Snakeskin	Da rắn
Snakiness	Sự bất nhân
Snaking	Sự lượn ngoằn ngoèo
Snaky	Nhiều rắn
Snapper	Cá chỉ vàng
Snappily	Cắn cảu, đốp chát
Snappy	Gắt gỏng, cắn cảu
Snapshot	Ảnh chụp nhanh
Snark	Quái vật
Snarling	Gầm gừ
Snarly	Gầm gừ
Sneering	Giễu cợt, nhạo báng
Sneeringly	Cười khinh bỉ
Sneeze	Sự hắt hơi
Snick	Vết khía, vết khứa
Snicker	Tiếng ngựa hí
Snickerer	Cười khúc khích
Snideness	Sự giả, sự giả mạo
Sniff	Tiếng hít vào
Sniffer	Người hít ma túy
Sniffing	Khụt khịt, sổ mũi
Snigger	Sự cười khẩy
Sniggerer	Người cười khẩy
Sniggle	Câu lươn
Snip	Miếng cắt ra
Sniping	Sự bắn tỉa
Snippet	Mụn vải
Snivel	Mũi thò lò
Snivelling	Yếu đuối
Snobbishly	Hợm hựnh
Snooks!	Thành ngữ snook
Snore	Tiếng ngáy
Snorer	Người ngủ hay ngáy
Snorter	Người hay khịt mũ
Snorting	Tiếng gáy
Snot	Vuôi, mũi thò lò
Snottiness	Sự thò lò mũi xanh
Snowbell	Cây bồ đề
Snowless	Không có tuyết
Snowstorm	Bão tuyết
Snuff	Hoa đèn
Snuffle	Sự hít mạnh
Snuffler	Người nói giọng mũi
Snuffy	Giống thuốc hít
Snug	Ấm áp, ấm cúng
Snuggle	Rúc vào
Soaked	Ướt đẫm
Soaking	Ướt đẫm như
Soap	Xà phòng
Soap power	Bột giặt
Soapdisk	Đĩa đựng xà phòng
Soapily	Giống xà phòng
Soapless	Không có xà phòng
Soapsuds	Nước bọt xà phòng
Soapy	Giống xà phòng
Soaring	Bay vút lên
Sob story	Truyện thương cảm
Sobbing	Thổn thức
Sober	Không say rượu
Sobriquet	Tên nhạo, biệt hiệu
Socage	Sự lĩnh canh trả tô
Sociable	Dễ gần, dễ chan hoà
Socialise	Xã hội hoá
Socialism	Chủ nghĩa xã hội
Socialist	Xã hội chủ nghĩa
Socialize	Xã hội hoá
Socializer	Người xã hội hoá
Socially	Chung cho xã hội
Societal	Thuộc xã hội
Society	Xã hội
Sociocracy	Chính quyền xã hội
Sociology	Xã hội học
Sock	Bít tất ngắn cổ
Socket	Lỗ, hốc, hố
Socketed	Đã lắp vào đui
Socking	Rất
Soddy	Có trồng cỏ xanh
Soffit	Mặt dưới vòm
Soft	Mềm
Soft goods	Hàng tơ lụa
Soft soap	Xà phòng mềm
Softening	Sự hoá mềm
Softish	Hơi mềm
Softness	Tính mềm dẻo
Softwood	Gỗ mềm
Softwooded	Bằng gỗ mềm
Soggily	Đẫm nước, sũng nước
Sogginess	Sự ẩm ướt
Soggy	Ẩm
Soigné	Diêm dúa
Soil	Đất
Soilborne	Chứa ở trong đất
Soiling	Làm bẩn
Soilure	Vết nhơ
Soirée	Buổi dạ hội
Soke	Quyền tài phán
Sola	Của solum
Solace	Niềm khuây khoả
Solanum	Họ cà
Solderable	Dễ hàn
Soldering	Sự hàn
Soldiering	Cuộc đời của lính
Soldierly	Giống lính
Solecism	Lỗi ngữ pháp
Soled	Có đế, có đóng đế
Solely	Duy nhất, độc nhất
Solemn	Trang nghiêm
Solemnise	Cử hành
Solemnity	Sự trang nghiêm
Solemnize	Cử hành
Solemnly	Chính thức
Solemnness	Tính trang nghiêm
Solenette	Đế giày mỏng
Solferino	Màu đỏ tía
Solicit	Khẩn khoản, nài xin
Solicitor	Cố vấn pháp luật
Solicitous	Ham muốn, ước ao
Solid	Cố thể
Solidarism	Chủ nghĩa đoàn kết
Solidarity	Sự liên kết
Solidary	Đoàn kết, liên kết
Solidified	Được hoá cứng
Solidify	Làm cho đông đặc
Soliloquy	Câu nói một mình
Solitary	Một cách đơn độc
Solitude	Tình trạng cô đơn
Solomon	Người khôn ngoan
Solubility	Tính giải được
Solubilize	Solubilise
Soluble	Giải được
Solute	Chất tan
Solutrean	Solutrian
Solvation	Sự sonvát hoa
Solvent	Có khả năng hoà tan
Soma	Đốt
Somatology	Vật thể học
Somatome	Khúc thân
Somatotype	Kiểu thân
Some	Một vài
Some time	Một thời gian
Someday	Rồi đây
Someplace	Đâu đó
Somersault	Sự nhảy lộn nhào
Something	Cái gì đó
Somewhere	Ở một nơi nào đó
Somital	Somitic
Sommelier	Sồ nhiều sommeliers
Somnolent	Mơ màng, ngái ngủ
Somnolism	Giấc ngủ thôi miên
Sonde	Khí cụ thăm dò
Song	Tiếng hót
Songless	Không hót
Songster	Ca sĩ, người hát
Soniferous	Truyền tiếng
Sonless	Không có con trai
Sonneteer	Người làm xonê
Sonnic	Thuộc âm thanh
Sonship	Phận làm trai
Sool	Thúc dục
Soon	Ngay
Sooted	Bồ hóng
Soother	Người làm giảm đau
Soothfast	Thật, trung thực
Soothingly	Dịu dàng
Soothly	Xác thực
Soothsay	Bói
Soothsayer	Thầy bói
Sophism	Sự nguỵ biện
Sophist	Nhà nguỵ biện
Sophistic	Nguỵ biện
Sophistry	Phép nguỵ biện
Sopor	Hôn mê nhẹ
Soppily	Đẫm nước, sũng nước
Sopping	Ướt sũng, sũng nước
Soppy	Đẫm nước, sũng nước
Sorbent	Chất hấp thụ
Sorbet	Xê cố, kem chanh
Sorcerer	Thầy phù thuỷ
Sorceress	Mụ phù thuỷ
Sordid	Bẩn thỉu, nhớp nhúa
Sordidness	Sự nhớp nhúa
Sore	Đau, đau đớn
Soredial	Vảy phát tán bào tử
Soredium	Vảy phát tán bào tử
Sorely	Đau đớn
Sorority	Liên đoàn bà xờ
Sorption	Sự hút thấm bề mặt
Sorrel	Có màu nâu đỏ
Sorrower	Người đau khổ
Sorrowful	Đau đớn
Sottish	Nghiện rượu bí tỉ
Soubisse	Xốt có hành tây
Sou'wester	Gió tây nam
Soul	Linh hồn
Soulless	Không có tâm hồn
Sounder	Máy phát âm
Sounding	Nghe kêu, kêu
Soundless	Không kêu, câm
Soundly	Hoàn toàn và đầy đủ
Soundness	Tính lành mạnh
Soup	Cháo
SoupÀon	Chút, tí, thoáng
Soupson	Chút ít, dấu vết
Soupspoon	Thìa xúp
Sour	Chua
Souree	Nguồn
Sourness	Sự chua
Sourpuss	Người quạu cọ
Souse	Món giầm muối
Southerly	Về phương nam
Southern	Người ở miền Nam
Southerner	Người ở miền Nam
Southing	Sự tiến về phía nam
Southland	Miền nam
Southward	Hướng nam
Southwards	Hướng nam
Souvenir	Vật kỷ niệm
Sovereign	Tối cao
Soviet	Xô viết
Sovietise	Xô viết hoá
Sovietism	Cộng sản
Sovietize	Xô viết hoá
Sowback	Cồn cát thấp
Sowdrunk	Say bí tỉ
Sower	Người gieo hạt
Sowing	Sự gieo hạt
Sown	Gieo
Soy sauce	Xì dầu
Soya sauce	Xì dầu
Space	Chỗ
Space ship	Tàu vũ trụ
Space suit	Bộ quần áo vũ trụ
Spacecraft	Spaceship
Spaceful	Rộng rãi
Spaceman	Nhà du hành vũ trụ
Spaceport	Sân bay vũ trụ
Spacewards	Về phía không gian
Spacewoman	Nữ du hành vũ trụ
Spacious	Rộn lớn, rộng rãi
Spadesman	Người đào mai
Spadework	Việc đào bằng mai
Spading	Sự đào đất bằng mai
Spaewife	Bà thầy bói
Spaghetti	Mì ống
Spake	Nói
Spallbale	Có thể đập vỡ được
Spalling	Nứt vỡ
Span roof	Nhà hai mái
Spangling	Sự rắc trang kim
Spangly	Có trang kim
Spaniard	Người Tây ban nha
Sparely	Thanh đạm
Spareness	Để dành
Sparge	Vảy nước, rảy nước
Sparget	Ống vảy nước
Sparing	Thanh đạm, sơ sài
Sparingly	Thanh đạm, sơ sài
Spark	Tàn lửa
Sparking	Phát ra tia lửa
Sparkle	Ánh lấp lánh
Sparkler	Kim cương lấp lánh
Sparkless	Không có tàu lửa
Sparkling	Lấp lánh, lóng lánh
Sparkwear	Sự cháy mòn
Sparky	Sinh động
Sparsely	Rải mỏng ra
Sparsity	Sự rải mỏng ra
Spartacism	Sách lược Xpactacút
Spatchcock	Gà giết và nấu vội
Spate	Mùa nước
Spathed	Có mo
Spathiform	Hình spat
Spathulate	Dạng thìa
Spattee	Ghệt, xà cạp
Spatula	Dao trộn thuốc vẽ
Spawner	Cá đẻ trứng
Spawning	Thời gian đẻ trứng
Speak	Nói
Speakable	Có thể nói đến
Speaking	Lời nói
Spearhead	Mũi giáo, mũi mác
Speary	Hình cây giáo
Special	Đặc biệt
Specialise	Làm thành đặc trưng
Specialize	Chuyên môn hoá
Specially	Một cách chuyên môn
Species	Phạm trù
Specified	Lý thuyết
Specifity	Tính đặc hiệu
Specify	Định rõ, ghi rõ
Specimen	Mẫu, bản mẫu, ví dụ
Speciosity	Vẻ có lý bề ngoài
Speciously	Có vẻ hợp lý
Specked	Có đốm bẩn
Speckle	Vết lốm đốm
Speckled	Có những đốm nhỏ
Spectacled	Có đeo kính
Spectacles	Kính đeo mắt
Spectator	Người xem, khán giả
Spectra	Hình ảnh
Spectrum	Đồ thị của hàm phổ
Specular	Phản chiếu
Speculator	Người hay suy đoán
Sped	Tốc độ, tốc lực
Speedway	Trường đua mô tô
Speedy	Ngay lập tức
Speer	Speir
Spelican	Spilikin
Spell	Lời thần chú
Spellbound	Mê, say mê
Speller	Người đánh vần
Spelling	Chính tả
Spencer	Áo vét len ngắn
Spendable	Có thể tiêu được
Spent	Được dùng
Spermatid	Tiền tinh trùng
Spermin	Hocmon tinh hoàn
Spewing	Nôn mửa
Sphenic	Dạng nêm
Sphenogram	Chữ hình nêm
Spheral	Dạng cầu
Sphere	Hình cầu, mặt cầu
Sphericity	Tính cầu
Spheroid	Hình phỏng cầu
Spherula	Tiểu cầu
Spherulite	Tinh thể hình cầu
Sphery	Có hình cầu
Sphygmic	Thuộc mạch
Sphygmoid	Sự đập mạch
Spic	Spik
Spice	Đồ gia vị
Spiced	Có gia vị
Spicily	Có bỏ gia vị
Spicular	Có gai
Spiculate	Có gai
Spicule	Gai nhỏ, gai
Spicy	Có bỏ gia vị
Spider	Con nhện
Spiegel	Gang kính
Spigot	Nút thùng rượu
Spik	Spic
Spikewise	Dưới dạng đầu nhọn
