A b c	Bảng chữ cái
Unajourned	Không được gia hạn
Unalarmed	Không lo sợ, không hoảng hốt
Unalarming	Không đáng lo ngại
Unalike	Không giống, khác
Unalive	Không còn sống
Unallotted	Có thể sử dụng được
Unallowed	Trái phép
Unalluring	Không có duyên
Unalter	Không đổi
Unaltered	Còn nguyên
Unalytical	Không có tính chất phân tích
Unamazed	Không kinh ngạc
Unambition	Sự xuềnh xoàng
Unamended	Nguyên vẹn
Unanchor	Không thả neo
Unanchored	Không thả neo
Unanimity	Sự nhất trí
Unanimous	Nhất trí
Unannoyed	Không bực tức, không tức giận
Unanswered	Không được trả lời
Unappalled	Không sợ, không kinh hoảng
Unapparent	Không rõ, không lộ ra, kín
Unapplied	Không được thi hành
Unapt	Không có năng lực
Unaptly	Xem unapt
Unaptness	Sự thiếu năng lực
Unargued	Chấp nhận không tranh cãi
Unarmed	Bị tước khí giới
Unarmoured	Không mặc áo giáp
Unarrested	Không bị bắt
Unartful	Không giả tạo
Unartistic	Thiếu mỹ quan
Unasked	Không được mời
Unassayed	Chưa được thử thách
Unassisted	Không được giúp đỡ
Unassuaged	Không khuây, không nguôi
Unassumed	Không được thừa nhận
Unassuming	Không tự phụ, khiêm tốn
Unathletic	Không lực lưỡng
Unattached	Rảnh
Unattained	Chưa bị chạm tới
Unattesded	Không được chứng nhận
Unattired	Không trang điểm
Unattuned	Không hoà âm
Unavailing	Vô ích, vô tác dụng
Unavenged	Chưa được báo thù
Unavowable	Không thể thú nhận được
Unavowed	Không thú nhận
Unaware	Không biết, không hay
Unawarely	Xem unaware
Unawares	Bất ngờ, thình lình, chợt
Unawed	Không sợ
Unawsome	Không đáng sợ
Unbailable	Không được quyền bảo lãnh
Unbailed	Không được bảo lãnh
Unbaked	Chưa nướng
Unbalanced	Mất thăng bằng
Unban	Hủy bỏ lệnh cấm, cho phép
Unbaptized	Không được rửa tội
Unbar	Lấy thanh chắn đi
Unbarbed	Không vũ khí
Unbarbered	Không cạo râu, không chải đầu
Unbark	Tước vỏ cây, bóc vỏ cây
Unbated	Không giảm sút
Unbearable	Không thể chịu nổi
Unbearded	Không râu
Unbeatably	Xem unbeatable
Unbecome	Không hợp
Unbegot	Xem unbegotten
Unbegun	Chưa bắt đầu
Unbeholden	Không trông thấy
Unbelief	Sự hoài nghi
Unbeliever	Người không tin
Unbeloved	Không được yêu quý
Unbend	Tháo ra, lơi ra, , nới ra
Unbendable	Quyết tâm
Unbending	Cứng, không uốn cong được
Unbent	Tháo ra, lơi ra, , nới ra
Unbesought	Không cầu cạnh, không cầu xin
Unbiased	Không thành kiến
Unbiasedly	Xem unbiased
Unbiassed	Không thành kiến
Unbidden	Tự ý, không ai bảo
Unbigoted	Không tin mù quáng
Unbilled	Không có tên trong danh
Unbind	Mở, cởi, thả, tháo
Unbishop	Cách chức giám mục
Unblamable	Không khiển trách được
Unblanking	Sự mở
Unblenched	Không sợ hãi, không bối rối
Unblessed	Không được ban phước
Unblinded	Nhìn thấy được
Unblocked	Đã được
Unbloody	Thiếu máu
Unblotted	Không vấy bẩn, không hoen ố
Unblown	Chưa nở
Unblushing	Không đỏ mặt
Unboastful	Khiêm tốn
Unbolt	Mở chốt
Unbolted	Đã mở then cài
Unboned	Không xương
Unbooked	Không đăng ký
Unbookish	Không sách vở
Unbooted	Đã cởi giày ống, đã cởi ủng
Unborn	Chưa sinh
Unborrowed	Không cho mượn, không cho vay
Unbosom	Thổ lộ, bày tỏ
Unbosomer	Xem unbosom
Unbottomed	Không có đáy, không cùng
Unbowed	Không cúi, không khòm
Unbox	Lấy trong hộp ra
Unbranded	Không thể chọc thủng
Unbreathed	Không lấy lại hơi
Unbred	Mất dạy
Unbreech	Cởi quần
Unbribed	Không bị mua chuộc
Unbridged	Chưa có cầu bắc qua
Unbridle	Thả cương
Unbridled	Thả cương
Unbroken	Nguyên vẹn
Unbrokenly	Xem unbroken
Unbudded	Còn nụ
Unbudgeted	Không dự trù trong ngân sách
Unbudging	Không đổi thay
Unbuild	Phá sạch, san phẳng
Unbuilt	Chưa xây dựng
Unburied	Không chôn cất
Unburnable	Không thể đốt cháy
Unburned	Không cháy
Unburnt	Không cháy
Unburthen	Xem unburden
Unbusy	Không bận việc
Uncage	Thả khỏi lồng
Uncalcined	Không bị nung khô
Uncanny	Kỳ lạ, huyền bí
Uncaptured	Chưa bị bắt
Uncashed	Chưa chuyển thành tiền mặt
Uncate	Có móc
Uncaught	Chưa bị bắt
Uncaused	Sẵn có
Uncemented	Không được trát xi măng
Uncertain	Không chắc, còn ngờ
Unchain	Tháo xích, mở xích
Unchancy	Rủi, không may, bất hạnh
Unchanging	Không thay đổi, không đổi
Uncharge	Xử án trắng
Uncharm	Trừ tà
Uncharming	Sự trừ tà
Uncharred	Không bị đốt thành than
Uncharted	Chưa thám hiểm
Unchastely	Xem unchaste
Uncheated	Không bị lừa
Uncheerful	Rầu rĩ
Unchewable	Không nhai được
Unchewed	Không bị nhai, chưa bị nhai
Unchild	Tước đoạt tuổi thơ
Unchurch	Khai trừ khỏi giáo hội
Unciform	Có hình móc
Unciliated	Không có mao
Uncinate	Có móc
Uncivil	Không lịch sự, thô bỉ, vô lễ
Uncivilly	Xem uncivil
Unclad	Không mặc áo quần
Unclaimed	Không bị yêu sách
Unclamp	Mở kẹp, tháo kẹp
Unclarity	Tính không sáng rõ
Uncle	Dượng
Unclean	Bẩn, bẩn thỉu
Uncleanly	Nhơ nhuốc
Uncleansed	Bẩn
Unclear	Không trong, đục
Uncleared	Không dọn dẹp
Uncleless	Xem uncle
Unclench	Nhả, thả, nới, mở
Unclerical	Không tăng lữ
Unclew	Tháo ra, gỡ ra
Unclipt	Xem unclipped
Uncloak	Lột vỏ ngoài
Uncloister	Cho ra khỏi tu viện
Unclosed	Không đóng
Unclothe	Lột trần
Uncloying	Không chán, không ngấy
Unclue	Xem unclew
Unclutch	Giải phóng
Unclutter	Sắp đặt
Uncocked	Không lên cò
Uncoded	Không mắc lừa
Uncodified	Không mã hoá
Uncoerced	Tự nguyện
Uncoined	Không gọt giũa
Uncoloured	Không màu sắc
Uncomely	Không đẹp, vô duyên
Unconfined	Không bị giam giữ
Unconfused	Không bối rối
Uncongeal	Làm tan băng, làm tan giá
Unconsoled	Không khuây, không nguôi
Unconsumed	Không bị thiêu huỷ
Uncontrite	Không ăn năn, không hối hận
Uncooked	Chưa nấu chín, còn sống
Uncooled	Không ướp lạnh
Uncord	Cởi dây buộc, cởi dây trói
Uncork	Mở nút, tháo nút
Uncorrect	Sai
Uncorrupt	Không bị mua chuộc
Uncorseted	Không mặc cóoc-xê
Uncostly	Rẻ
Uncounted	Không đếm
Uncouple	Tách ra
Uncoupler	Xem uncouple
Uncouthly	Xem uncouth
Uncovering	Sự bóc
Uncoveted	Không ai thèm muốn
Uncreated	Chưa được tạo ra
Uncreative	Không sáng tạo
Uncritical	Thiếu óc phê bình
Unction	Thuốc xoa, dầu xức
Unctuosity	Xem unctuous
Unctuously	Xem unctuous
Uncultured	Không được cày cấy trồng trọt
Uncumbered	Xem unencumbered
Uncured	Chưa lành
Uncurious	Không ham biết
Uncurtain	Gỡ màn ra, mở màn ra
Uncus	Danh từ,  số nhiều unci
Uncuttable	Xem uncut
Undamaged	Còn tốt
Undamped	Không tách dần
Undaring	Rụt rè
Undated	Không đề ngày tháng
Undaunted	Tính dũng cảm
Undeadly	Không chết người
Undealt	Chưa giải quyết
Undebated	Chưa được bàn cãi
Undecadent	Không điêu tàn
Undecaying	Không thể tàn tạ được
Undecisive	Không có tính chất quyết định
Undefeated	Chưa ai thắng nổi
Undefiled	Trong sạch, tinh khiết
Undefined	Không xác định
Undenied	Thú nhận
Undeplored	Không phàn nàn, không ân hận
Under	Dưới, ở dưới
Underactor	Diễn viên đóng vai phụ
Underarm	Trong nách, cho nách
Underbrim	Mặt dưới vành mũ
Underbuy	Mua giá hạ, mua giá rẻ
Underclad	Mặc thiếu áo
Underclerk	Phụ tá
Undercook	Nấu chưa chín
Undercover	Bí mật, giấu giếm
Underdid	Làm ít, thực hiện thiếu
Underdo	Làm ít, thực hiện thiếu
Underdose	Liều lượng không đủ
Underdrain	Cống ngầm
Underdrawn	Past part của underdraw
Underdrew	Past của underdraw
Underfed	Cho thiếu ăn, cho ăn đói
Underfeed	Cho thiếu ăn, cho ăn đói
Underfelt	Nỉ để trải dưới một tấm thảm
Underfloor	Ở dưới sàn
Underflow	Dòng nước ngầm
Underfoot	Dưới chân
Underframe	Bộ lót khung
Undergird	Đỡ ở phía trước
Underglaze	Có lót nền để tráng men
Undergo	Chịu, bị, trải qua
Undergone	Chịu, bị, trải qua
Underhand	Giấu giếm, lén lút
Underlaid	Đặt bên dưới
Underlain	Nằm dưới, ở dưới
Underlay	Đặt bên dưới
Underlayer	Lớp lót, tầng lót
Underlet	Cho thuê lại
Underlie	Nằm dưới, ở dưới
Underlinen	Quần áo trong, quần áo lót
Underling	Bộ hạ, tay chân
Underlip	Môi dưới
Underload	Chất chưa đủ, chở chưa đủ
Underlook	Cái nhìn lén, cái nhìn trộm
Underlying	Nằm dưới, dưới
Under-	Hình thái những chỉ
Under-age	Chưa đến tuổi trưởng thành
Under-bid	Xem underbid
Under-deck	Boong dưới
Under-jaw	Hàm dưới
Under-king	Vua nước nhỏ, vua chư hầu
Undermine	Xói mòn chân
Undernamed	Có tên dưới đây
Underneath	Ở dưới
Undernoted	Ghi chú ở dưới
Underpaid	Trả lương thấp
Underpan	Chậu lót
Underpart	Phần dưới
Underpay	Trả lương thấp
Underran	Chạy qua phía dưới
Underripe	Chưa chín hẳn, còn ương
Underrun	Chạy qua phía dưới
Undersea	Dưới mặt biển
Underseas	Dưới mặt biển
Undersexed	Yếu sinh lý
Undershirt	Áo lót
Undershore	Chống đỡ
Undershrub	Cây bụi thấp
Underskirt	Váy trong
Underslung	Được đỡ từ bên trên
Undersoil	Đất dưới, đất cái
Undersong	Nhạc điệu nền
Understand	Hiểu
Understood	Hiểu, nắm được ý, biết
Understrid	Past part của understride
Undertake	Làm, định làm
Undertaken	Làm, định làm
Undertaker	Người làm
Undertime	Thời gian ít ỏi
Undertint	Màu nhạt, màu dịu
Undertone	Giọng thấp, giong nói nhỏ
Undertook	Làm, định làm
Underused	Không được tận dụng
Undervalue	Đánh giá thấp
Undervest	Áo lót
Underwater	Nước ngầm
Underway	Đang vận động
Underwear	Quần áo trong, quần áo lót
Underwent	Chịu, bị, trải qua
Underwhelm	Không gây được ấn tượng
Underwit	Người ngốc, người đần độn
Underwork	Công việc kém chất lượng
Underworld	Trần thế, thế gian, trần gian
Undescried	Không ai nhận thấy
Undeserved	Không đáng, không xứng đáng
Undesigned	Không cố ý, không định trước
Undevised	Không có kế hoạch
Undid	Tháo, cởi, mở
Undidactic	Không có tính cách nhà giáo
Undigested	Chưa tiêu
Undight	Không sắp đặt
Undiligent	Không cố gắng
Undimmed	Không bị mờ, không tối
Undine	Nữ thuỷ thần, nữ hà bá
Undipped	Chưa được rửa tội
Undirected	Không định hướng
Undismayed	Không nao núng
Undivided	Không bị chia
Undivorced	Không ly dị
Undivulged	Không bị tiết lộ
Undo	Tháo, cởi, mở
Undoer	Xem undo
Undogmatic	Không giáo điều
Undoing	Sự tháo, sự cởi, sự mở
Undone	Chưa xong, bỏ dở
Undotted	Không đánh dấu chấm
Undoubtful	Rõ ràng
Undoubting	Không nghi ngờ
Undramatic	Không thích hợp với sân khấu
Undrawn	Past part của undraw
Undrew	Past của undraw
Undried	Không phơi khô
Undriven	Không bị thúc giục
Undrowned	Không bị chìm
Undrunk	Không bị say
Undue	Quá chừng, quá mức, thái quá
Undulating	Gợn sóng, nhấp nhô
Undulation	Sự chyển động sóng
Undulatory	Gợn sóng, nhấp nhô
Undurable	Không bền, không lâu bền
Undusted	Bám đầy bụi
Unduteous	Không thấy trách nhiệm
Undutiful	Không biết vâng lời
Undying	Không chết, bất tử, bất diệt
Uneager	Thiết tha
Unearned	Không kiếm mà có
Unease	Xem uneasy
Uneasily	Không dễ dàng, khó khăn
Uneatable	Không thể ăn được
Uneaten	Chưa ăn
Unecapable	Tất yếu
Uneconomic	Không tinh tế
Unedge	Làm mất cạnh, làm cùn
Unedible	Không ăn được
Uneducated	Không được giáo dục
Uneffaced	Không bị xoá
Unembodied	Vô thể, vô hình
Unemotive	Như unemotional
Unemphatic	Không hùng hồn, không mạnh mẽ
Unemptied	Không trút hết
Unenclosed	Không có gì vây quanh
Unending	Không dứt, không hết, vô tận
Unendowed	Không được phú cho
Unengaged	Chưa đính hôn, chưa hứa hôn
Unengaging	Không hấp dẫn
Unenlarged	Chật hẹp
Unenriched	Không giàu thêm
Unenslaved	Không bị nô dịch hoá
Unentered	Không đăng ký
Unenvying	Không ghen tị
Unequable	Thay đổi
Unequal	Không cân bằng, không bằng
Unequalled	Vô địch, vô song
Unequally	Xem unequal
Unerased	Không xoá, không xoá bỏ
Unerring	Không sai, chính xác
Unerringly	Xem unerring
Unescorted	Không ai hộ tống
Uneven	Không chẵn
Uneventful	Yên ổn
Unexceeded	Không bị vượt quá
Unexcelled	Không ai hơn, không ai vượt
Unexecuted	Chưa thi hành, chưa làm
Unexpended	Không tiêu đến
Unexpired	Chưa hết hạn, còn hiệu lực
Unexplicit	Không rõ, không minh bạch
Unexposed	Không bày ra, không trưng bày
Unextended	Không gia hạn, không kéo dài
Unextinct	Không tắt, chưa tắt
Unextorted	Tự nguyện
Unfabled	Có thật không bày đặt
Unface	Vạch mặt
Unfadable	Không thể héo được
Unfading	Không héo, không tàn đi
Unfadingly	Xem unfading
Unfainting	Dũng cảm
Unfair	Gian tà, gian lận
Unfairness	Sự gian lận
Unfaithful	Không trung thành, phản bội
Unfaked	Thật
Unfallen	Không rụng
Unfamed	Không tiếng tăm
Unfamiliar	Không quen, không biết, lạ
Unfancy	Không kiêu căng
Unfasten	Mở, cởi, tháo, nới
Unfastened	Được tháo, được nới
Unfatigued	Không bị mệt mỏi
Unfaulty	Vô tội
Unfavoured	Không có đặc quyền đặc lợi
Unfearing	Gan dạ
Unfeather	Vặt lông
Unfeatured	Không có đường nét
Unfed	Không được cho ăn
Unfeed	Không được trả tiền thù lao
Unfeigned	Chân thực, thành thực
Unfellowed	Cô độc
Unfelt	Không cảm thấy, không thấy
Unfence	Bỏ hàng rào
Unfenced	Bỏ ngõ
Unfertile	Không tốt mỡ, không màu mỡ
Unfetter	Tháo xiềng, mở cùm
Unfile	Rút ra khỏi hồ sơ
Unfiltered	Không lọc
Unfindable	Hiếm
Unfingered	Không được ngón tay chạm đến
Unfinished	Bỏ dở
Unfitly	Xem unfit
Unfitness	Sự thiếu khả năng
Unfitted	Không có các tiện nghi
Unfitting	Không ăn ý, không ăn khớp
Unfix	Tháo ra, mở ra, cởi ra, bỏ ra
Unfixed	Tháo ra, mở ra, cởi ra, bỏ ra
Unflagging	Không nao nung, không suy yếu
Unflawed	Không rạn nứt
Unflecked	Không bị lốm đốm
Unfleshly	Không mang tính chất xác thịt
Unfluried	Không có bạo động
Unflyable	Không bay được
Unfocused	Không điều chỉnh tiêu điểm
Unfocussed	Xem unfocused
Unfoiled	Không dát giấy trang kim
Unfold	Mở ra, trải ra
Unfoldment	Xem unfold
Unfond	Không ham, không thích
Unforced	Tự nhiên
Unforeseen	Bất ngờ
Unforested	Không trồng rừng
Unforetold	Không được báo trước
Unformed	Chưa thành hình
Unfound	Không được phát hiện
Unfounded	Không căn cứ, không có sơ sở
Unframe	Tháo, tháo khung
Unfrequent	Ít có, hiếm có, ít xảy ra
Unfriended	Không bạn bè
Unfroze	Past của unfreeze
Unfrozen	Past part của unfreeze
Unfrugal	Hoang phí
Unfuedlled	Không được cấp chất đốt
Unfunded	Trôi nổi
Unfurrowed	Không cày xới
Ungag	Tháo giẻ bịt miệng
Ungainly	Vụng về, long ngóng
Ungarbled	Không xuyên tạc
Ungathered	Không gom lại
Ungauged	Không đo
Ungear	Tháo bánh răng
Ungelt	Xem ungelded
Ungenial	Không tốt bụng
Ungenteel	Không lễ độ, không nhã nhặn
Unghostly	Không phải ma quỷ
Ungifted	Không được quà
Ungild	Không mạ vàng
Ungilt	Past và past part của ungild
Ungird	Mở ra, tháo ra, cởi ra
Ungirdle	Tháo thắt lưng, tháo đai
Ungirt	Past và past part của ungird
Unglad	Không vui
Unglue	Bóc ra
Ungodlike	Xem ungodly
Ungot	Past và past part của unget
Ungowned	Không có áo choàng
Ungraceful	Không có duyên, vô duyên
Ungracious	Kiếm nhã, thiếu lịch sự
Ungrateful	Bạc, vô ơn, bội nghĩa
Ungreased	Không cho dầu
Ungreedy	Không tham, không tham ăn
Ungreen	Có hại cho môi trường
Ungreeted	Không được chào đón
Ungrown	Chưa lớn
Ungrudging	Vui lòng cho, cho không tiếc
Unguent	Thuốc bôi dẻo, thuốc cao
Unguentary	Xem unguent
Ungues	Xem unguis
Unguessed	Không được đoán biết
Unguicorn	Vuốt
Unguilty	Không có lỗi, không tội lỗi
Unguis	Danh từ,  số nhiều ungues
Ungula	Múi
Ungulae	Vuốt
Unguliform	Dạng guốc
Ungum	Bóc ra, mở ra
Unhaft	Tháo cán ra
Unhailed	Không được hoan nghênh
Unhallow	Làm nhục
Unhand	Cho đi, thả ra, buông ra
Unhandily	Xem unhandy
Unhandsome	Xấu xí, xấu
Unhanged	Hạ xuống, bỏ xuống
Unhappily	Buồn
Unharmful	Không có hại, không gây hại
Unhasp	Mở khoá móc ra
Unhasting	Thận trọng
Unhasty	Không vội
Unhat	Bỏ mũ ra
Unhaunted	Vắng vẻ
Unhealthy	Ốm yếu, yếu đuối ốm đau
Unheated	Không được sưởi ấm
Unhedged	Không có rào, không có giậu
Unhele	Khám phá
Unhemmed	Không viền
Unhemmet	Không viền quanh
Unheralded	Không báo trước
Unheroic	Không anh hùng
Unheroical	Xem unheroic
Unhewn	Không đẽo
Unhindered	Tự do
Unhired	Không để cho thuê
Unhitch	Tháo ở móc ra
Unholily	Xem unholy
Unholiness	Tính không linh thiêng
Unholy	Không linh thiêng
Unhomely	Không hấp dẫn
Unhonoured	Bị khinh miệt, bị coi khinh
Unhoped	Bất ngờ
Unhopeful	Không có hy vọng
Unhorse	Làm cho ngã ngựa
Unhostile	Thân thiện
Unhoused	Lâm cảnh màn trời chiếu đất
Unhumanize	Làm mất lòng nhân đạo
Unhumorous	Nghiêm trang
Unhunted	Không bị đuổi theo
Unhurried	Thong thả, không vội vàng
Unhurt	Vô sự
Unhurtful	Vô hại
Unhydrated	Không bị thủy hợp
Unhygienic	Hại sức khoẻ
Uniaxial	Đơn trục
Unicameral	Độc viện
Unicell	Sinh vật đơn bào
Unicellate	Xem unicellular
Unicity	Tính duy nhất
Unicursal	Đơn hoạch
Unicycle	Xe đạp một bánh
Unicyclist	Người đi xe đạp một bánh
Unidea'd	Không có ý kiến
Unified	Thống nhất, hợp nhất
Unifier	Xem unify
Uniform	Đều
Uniformed	Mặc đồng phục, mặc quân phục
Uniformise	Đơn trị hoá
Uniformity	Tính đơn trị
Uniformly	Đều
Unify	Hợp nhất, thống nhất
Unilinear	Đơn tuyến
Unilingual	Có tính chất đơn ngữ
Uniliteral	Chỉ có một con chữ
Unimagined	Có thật
Unimbued	Không thấm đẫm
Uni-	Hình thái cấu tạo từ ghép
Uninclined	Không nghiêng, không dốc
Unincluded	Không kể
Unindebted	Không mắc nợ
Uninflamed	Không bị khích động
Uninflated	Không có hơi
Uninformed	Không am hiểu
Uninominal	Chỉ có một tên, đơn danh
Uninvited	Không được mời
Uninvoked	Không được dẫn chứng
Uninvolved	Không gồm, không bao hàm
Union	Hợp
Unionistic	Xem unionist
Unionizer	Xem unionize
Unipolar	Một cực, đơn cực
Unipotent	Luỹ đơn
Unique	Duy nhất, đơn trị
Uniquely	Độc nhất vô nhị, chỉ có một
Uniqueness	Tính đơn trị
Unironed	Không bị cùm, không bị xích
Uniseriate	Một dãy
Unisolated	Không cô lập
Unit	Đơn vị
Unitary	Unita, đơn nguyên đơn vị
Unite	Hợp nhất
United	Hợp, liên liên kết
Unitedness	Xem united
Unity	Duy nhất
Univalve	Một van, một mảnh vỡ, một nắp
Universal	Phổ dụng
Universe	Vũ trụ
University	Trường đại học
Univocally	Xem univocal
Univoltine	Một lứa, một vụ, một thế hệ
Unjaded	Không chán ngấy
Unjoin	Tháo ra
Unjoyful	Không vui vẻ, buồn, buồn chán
Unjoyous	Xem unjouful
Unjudged	Bị kết tội không qua xét xử
Unjudical	Không hợp pháp
Unjust	Bất công
Unjustly	Không xứng đáng
Unjustness	Tính bất công
Unkept	Bị bỏ rơi
Unkey	Rút, chèn
Unkind	Không tử tế, không tốt
Unkindled	Không cháy/bốc lửa
Unkindness	Lòng không tử tế
Unkingly	Không xứng đáng một ông vua
Unkink	Gỡ xoắn
Unknight	Tước danh hiệu hiệp sĩ
Unknot	Mở nút, gỡ mối, tháo ra
Unknowable	Không thể biết được
Unknowably	Xem unknowable
Unknowing	Không hay, không biết
Unknown	Chưa biết ẩn
Unlabelled	Không có nhãn, không dán nhãn
Unlade	Dỡ hàng
Unladen	Dỡ hàng
Unladylike	Không có dáng quý phái
Unlaw	Hành động phi pháp
Unlearned	Dốt nát
Unleased	Không thuê, không vay mượn
Unleavened	Không có men
Unled	Không được lãnh đạo
Unleisured	Không rối, không bận
Unless	Trừ phi, trừ khi, nếu không
Unlethal	Không chết người
Unlettered	Dốt
Unliberal	Hẹp hòi, thành kiến, cố chấp
Unlicensed	Không có đăng ký
Unlicked	Không chải chuốt
Unlike	Khác, không giống
Unlikeness	Xem unlike
Unlimed	Không rắc vôi, không bón vôi
Unlimited	Vô hạn, không giới hạn
Unlink	Tháo mắt xích
Unlive	Sống cách khác, đổi cách sống
Unliveable	Xem unlivable
Unload	Cất gánh nặng, dỡ hàng
Unloader	Xem unload
Unlocated	Không xác định đúng vị trí
Unlock	Mở, mở khoá
Unlogical	Không nhất quán
Unlord	Rút tước phong
Unlost	Không bị mất
Unloved	Không được yêu, không được ưa
Unlovely	Khó thương, không đáng yêu
Unloving	Không âu yếm, không có tình
Unluck	Sự thất bại, sự rủi ro
Unluckily	Không may, bất hạnh
Unlucky	Không may, xúi, rủi, đen đủi
Unmade	Bị phá, bị phá huỷ
Unmaidenly	Không dịu dàng
Unmake	Phá huỷ
Unmaliness	Tính yếu đuối, tính nhu nhược
Unmanful	Thiếu kiên quyết
Unmanlike	Nhu nhược, tầm thường
Unmanned	Không có người
Unmannered	Vô giáo dục, mất dạy
Unmannerly	Vô giáo dục, mất dạy
Unmantle	Bỏ khăn choàng ra
Unmanured	Không bón phân
Unmapped	Không ghi trên bản đồ
Unmarked	Không được đánh dấu
Unmarried	Ở vậy
Unmarry	Chưa ly hôn, ly dị
Unmartial	Không hiếu chiến
Unmask	Vạch mặt, lột mặt nạ
Unmatched	Không bằng, không xứng
Unmaterial	Phi vật chất
Unmatured	Chưa chín
Unmeaning	Không có nghĩa, vô nghĩa
Unmeant	Không có ý định
Unmeasured	Vô biên, mênh mông, bao la
Unmediated	Không có trung gian
Unmellow	Bộp chộp
Unmelted	Không tan ra, không chảy ra
Unmerciful	Nhẫn tâm
Unmerited	Không đáng, không xứng đáng
Unmetalled	Không rãi nhựa
Unmilled	Không nghiền, không tán
Unmindful	Quên
Unminted	Không đặt ra, không tạo ra
Unmissed	Không gây phiền muộn
Unmixed	Không hỗn tạp
Unmixedly	Xem unmixed
Unmodern	Không hiện đại
Unmodified	Không giảm, không bớt
Unmodish	Không hợp thời trang
Unmolested	Được yên
Unmoneyed	Không xu dính túi
Unmoor	Kéo neo
Unmoral	Trái với luân lý
Unmorality	Sự thiếu đạo đức
Unmorally	Xem unmoral
Unmortared	Không trát vữa
Unmotived	Không có lý do
Unmould	Lấy ở khuôn ra
Unmounted	Không cưỡi ngựa, đi bộ
Unmuffle	Cởi khăn quấn
Unmuzzle	Không bịt mõm, không khoá mõm
Unnail	Nhổ đinh, nạy đinh
Unnamable	Không thể đặt tên
Unnameable	Xem unnamable
Unnamed	Không tên, vô danh
Unnatural	Trái với thiên nhiên
Unneeded	Vô dụng
Unneedful	Vô dụng
Unnerved	Bị làm suy nhược
Unnerving	Xem unnerve
Unnoticed	Không ai thấy, không ai để ý
Unnotified	Không báo cho biết
Unnumbered	Không được đánh số
Unnurtured	Không được dạy dỗ, mất dạy
Unobeyed	Không được nghe theo
Unobjected	Không bị phản đối
Unobserved	Không ai thấy, không ai để ý
Unobtained	Không đạt tới
Unoffered	Không biếu, không tặng
Unoiled	Tẩy sạch mỡ
Unopened	Không mở, bị đóng lại
Unordained	Không định xếp sắp
Unordered	Không được đăng ký
Unordinary	Không tầm thường, không xoàng
Unorthodox	Không chính thống
Unpacified	Không bình định
Unpack	Tháo dỡ
Unpaged	Không đánh số trang
Unpained	Không bị đau
Unpainful	Không hay đau ốm
Unpainted	Không sơn
Unpaired	Không có cặp, không có đôi
Unpampered	Không được nuông chiều
Unpapered	Không dán giấy bồi tưởng
Unpardoned	Không được tha thứ
Unparental	Không xứng đáng làm bố mẹ
Unparented	Cầu bơ cầu bất
Unpark	Rời bãi đổ xe
Unpatented	Không có bằng sáng chế
Unpathed	Không bị giẫm mòn
Unpausing	Không kề cà, không dây dưa
Unpeaceful	Không hoà bình
Unpedantic	Không thông thái rởm
Unpedestal	Hạ bệ
Unpennied	Không biết một chữ
Unpent	Không bị nhốt, không bị giam
Unpeople	Làm giảm bớt số dân
Unperilous	Không nguy hiểm
Unperished	Không chết, còn sống
Unperveted	Không xuyên tạc
Unphonetic	Phi ngữ âm học
Unphrased	Không được nói thành lời
Unphysical	Tinh thần
Unpicked	Không chọn lọc
Unpile	Lấy trong đống ra
Unpin	Bỏ kim băng, bỏ đinh ghim
Unpitiful	Không chút thương xót
Unpitying	Tàn nhẫn
Unplaced	Không được ghi vào danh sách
Unplagued	Không gây bệnh dịch
Unplait	Tháo sổ bím tóc ra
Unplaited	Bị kéo dãn nếp nhăn
Unplaned	Không bào cho phẳng
Unplanned	Không có kế hoạch
Unplant	Nhổ rễ
Unplanted	Không trồng cây
Unplastic	Không dẻo
Unpleated	Không gấp nếp, không nhăn
Unpledged	Không cầm cố, không ký quỹ
Unpliable	Không mềm
Unpliant	Không mềm
Unplucked	Chưa nhổ, chưa bứt, chưa hái
Unplug	Tháo nút ra
Unplumbed	Không có dây dọi
Unpoetic	Không phải là thơ ca
Unpoetical	Không phải là thơ ca
Unpointed	Không có dấu chấm câu
Unpoised	Mất thăng bằng
Unpoisoned	Không bị đầu độc
Unpoliced	Không bị theo dõi
Unpolished	Không bóng, không láng
Unpolite	Vô lễ
Unpolitic	Thất sách
Unpolluted	Không bị ô uế, còn tinh khiết
Unpopular	Không có tính chất quần chúng
Unpossible	Không thể có được
Unpraised	Không được khen ngợi
Unpretty	Đáng chê trách
Unprinted	Không in
Unprison	Cho ra tù
Unprized	Không được đánh giá cao
Unprompted	Tự ý, tự mình
Unproposed	Không đề nghị, không đề xuất
Unpropped	Không có gì chống đỡ
Unprovable	Không thể chứng minh được
Unproved	Chưa chứng minh
Unprovided	Không có, thiếu
Unprpvable	Không chứng minh được
Unpunctual	Không đúng giờ
Unpure	Không trong sạch
Unpurified	Chưa lọc
Unpurse	Móc túi
Unpursued	Không bị truy nã
Unpuzzle	Giải, giải quyết
Unquailing	Mạnh bạo, hiên ngang
Unqualify	Tước quyền thi đấu
Unquarried	Chưa bị khai thác
Unqueen	Truất ngôi hoàng hậu
Unquenched	Không tắt, không bị dập tắt
Unquiet	Lo lắng, không yên
Unquietly	Trạng từ
Unramified	Không rẽ nhánh
Unrated	Không bị đánh thuế
Unrationed	Không phi có phiếu, bán tự do
Unravished	Không bị mê mẫn
Unrazored	Không cạo râu
Unread	Không đọc, không ai đọc
Unreadable	Không thể đọc được
